0:0:0:0:0:0:0:1 - - [05/May/2015:19:25:58 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:25:58 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:25:58 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/changePasssword.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:25:58 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/insert.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:25:58 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/selectname.js HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [05/May/2015:19:25:58 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:25:58 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:26:27 +0530] "GET /newmoodle/login2.jsp HTTP/1.1" 200 14699
0:0:0:0:0:0:0:1 - - [05/May/2015:19:26:27 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:26:27 +0530] "GET /newmoodle/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:26:27 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:26:27 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/jquery.validate.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:26:27 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/validate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:26:27 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/insert.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:26:27 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:26:27 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/selectname.js HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [05/May/2015:19:26:27 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/changePasssword.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:26:27 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:26:28 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:27:09 +0530] "GET /newmoodle/login2.jsp HTTP/1.1" 200 14699
0:0:0:0:0:0:0:1 - - [05/May/2015:19:27:10 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:27:10 +0530] "GET /newmoodle/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:27:10 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:27:10 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/jquery.validate.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:27:10 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/validate.js HTTP/1.1" 304 -
